Phage	MAG	lambda	metrics
k141_7898233	bin.209	0.0078125	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_3739853	bin.208	0.015625	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_3574107	bin.206	0.025390625	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 4, 'FN': 1}
k141_4970005	bin.204	0.013671875	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_5758383	bin.2	0.015625	{'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'TP': 1, 'FP': 1, 'FN': 0}
k141_1245771	bin.197	0.02734375	{'precision': 0.25, 'recall': 1.0, 'f1': 0.4, 'TP': 1, 'FP': 3, 'FN': 0}
k141_243004	bin.190	0.0078125	{'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'TP': 1, 'FP': 1, 'FN': 0}
k141_4218630	bin.188	0.015625	{'precision': 0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 0, 'FN': 1}
k141_3107551	bin.184	0.0234375	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_240385	bin.183	0.015625	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_2483849	bin.178	0.021484375	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_5579331	bin.173	0.015625	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 4, 'FN': 1}
k141_3140272	bin.169	0.015625	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_1917165	bin.167	0.015625	{'precision': 0.25, 'recall': 1.0, 'f1': 0.4, 'TP': 1, 'FP': 3, 'FN': 0}
k141_7263084	bin.164	0.03125	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 4, 'FN': 1}
k141_6815437	bin.162	0.01953125	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 2, 'FN': 1}
k141_5008484	bin.157	0.015625	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_5811943	bin.153	0.015625	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_496122	bin.15	0.01171875	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_5673619	bin.145	0.02734375	{'precision': 0.25, 'recall': 1.0, 'f1': 0.4, 'TP': 1, 'FP': 3, 'FN': 0}
k141_7869285	bin.143	0.0224609375	{'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'TP': 1, 'FP': 1, 'FN': 0}
k141_5696957	bin.142	0.015625	{'precision': 0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 0, 'FN': 1}
k141_1869398	bin.141	0.03125	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 4, 'FN': 1}
k141_6426358	bin.138	0.01318359375	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_7250295	bin.13	0.015625	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_2319439	bin.128	0.015625	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 2, 'FN': 1}
k141_7476510	bin.104	0.015625	{'precision': 0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 0, 'FN': 1}
k141_5043183	bin.102	0.01953125	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
