Host,Virus,HostTaxID,VirusTaxID,HostNCBIResolved,VirusNCBIResolved,ICTVRatified,HostGenus,HostFamily,HostOrder,HostClass,HostOriginal,VirusGenus,VirusFamily,VirusOrder,VirusClass,VirusOriginal,HostFlagID,DetectionMethod,DetectionOriginal,Database,DatabaseVersion,PublicationYear,ReferenceText,PMID,ReleaseYear,ReleaseMonth,ReleaseDay,CollectionYear,CollectionMonth,CollectionDay,AssocID,DatabaseDOI,Release_Date,Collection_Date,NCBIAccession
,betacoronavirus rousetti,9397,3418615,TRUE,TRUE,TRUE,,,chiroptera,mammalia,Chiroptera,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus rousetti,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2007,2,7,,,,,,2007-02-07,,"EF065513.1, EF065514.1, EF065515.1, EF065516.1"
,betacoronavirus rousetti,9397,3418615,TRUE,TRUE,TRUE,,,chiroptera,mammalia,Chiroptera,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus rousetti,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2010,8,30,2005,12,11,,,2010-08-30,2005-12-11,"HM211098.1, HM211099.1"
,betacoronavirus rousetti,9397,3418615,TRUE,TRUE,TRUE,,,chiroptera,mammalia,Chiroptera,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus rousetti,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2010,8,30,2006,4,10,,,2010-08-30,2006-04-10,"HM211100.1, HM211101.1"
,betacoronavirus rousetti,9397,3418615,TRUE,TRUE,TRUE,,,chiroptera,mammalia,Chiroptera,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus rousetti,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2012,4,10,2007,9,27,,,2012-04-10,2007-09-27,"JN857311.1, JN857312.1, JN857313.1, JN857314.1, JN857315.1, JN857316.1, JN857317.1, JN857318.1"
,betacoronavirus rousetti,9406,3418615,TRUE,TRUE,TRUE,rousettus,pteropodidae,chiroptera,mammalia,Rousettus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus rousetti,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2020,5,5,2019,6,11,,,2020-05-05,2019-06-11,MT350584.1
,betacoronavirus rousetti,9406,3418615,TRUE,TRUE,TRUE,rousettus,pteropodidae,chiroptera,mammalia,Rousettus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus rousetti,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2020,5,5,2020,1,7,,,2020-05-05,2020-01-07,MT350585.1
,betacoronavirus sp.,9397,1928434,TRUE,TRUE,FALSE,,,chiroptera,mammalia,Chiroptera,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus sp.,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2023,5,5,2021,3,,,,2023-05-05,2021-03,OK017908.1
,betacoronavirus tylonycteridis,9397,3433776,TRUE,TRUE,TRUE,,,chiroptera,mammalia,Chiroptera,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus tylonycteridis,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2007,2,21,,,,,,2007-02-21,,NC_009019.1
,betacoronavirus tylonycteridis,9397,3433776,TRUE,TRUE,TRUE,,,chiroptera,mammalia,Chiroptera,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus tylonycteridis,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2007,2,7,,,,,,2007-02-07,,"EF065505.1, EF065506.1, EF065507.1, EF065508.1"
,betacoronavirus tylonycteridis,9397,3433776,TRUE,TRUE,TRUE,,,chiroptera,mammalia,Chiroptera,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus tylonycteridis,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2013,7,8,2008,12,19,,,2013-07-08,2008-12-19,"KC522036.1, KC522049.1, KC522062.1"
