virus_id,host_id,virus_genus,host_name,status
1508220,76834,,rhinolophus arcuatus,virus_unknown
1508220,430491,,rhinolophus stheno,virus_unknown
1508220,476589,,rhinolophus thomasi,virus_unknown
1508220,249024,,rhinolophus alcyone,virus_unknown
1508220,519041,,rhinolophus simulator,virus_unknown
1508220,302408,,rhinolophus capensis,virus_unknown
1508220,59478,,rhinolophus clivosus,virus_unknown
1508220,519037,,rhinolophus blasii,virus_unknown
1508220,430492,,rhinolophus trifoliatus,virus_unknown
1508220,77218,,rhinolophus hipposideros,virus_unknown
1508220,329870,,triaenops persicus,virus_unknown
1508220,124756,,rhinopoma hardwickii,virus_unknown
1508220,196297,,pteropus rufus,virus_unknown
1508220,385575,,pteropus dasymallus,virus_unknown
1508220,328804,,pteropus conspicillatus,virus_unknown
1508220,9403,,pteropus poliocephalus,virus_unknown
1508220,58057,,acerodon celebensis,virus_unknown
1508220,1410044,,epomops buettikoferi,virus_unknown
1508220,903567,,epomophorus labiatus,virus_unknown
1508220,58067,,epomophorus wahlbergi,virus_unknown
1508220,58071,,myonycteris angolensis,virus_unknown
1508220,58063,,eidolon dupreanum,virus_unknown
1508220,298110,,,host_unknown
1508220,77233,,megaerops niphanae,virus_unknown
1508220,326083,,macroglossus sobrinus,virus_unknown
1508220,258909,,,host_unknown
1508220,909369,,glauconycteris variegata,virus_unknown
1508220,29078,,eptesicus fuscus,virus_unknown
1508220,3371016,,cnephaeus nilssonii,virus_unknown
1508220,109485,,hypsugo savii,virus_unknown
1508220,143942,,chalinolobus tuberculatus,virus_unknown
1508220,258889,,chalinolobus gouldii,virus_unknown
1508220,2491053,,falsistrellus mackenziei,virus_unknown
1508220,110938,,laephotis capensis,virus_unknown
1508220,258944,,neoromicia somalicus,virus_unknown
1508220,526822,,tylonycteris robustula,virus_unknown
3433775,105273,betacoronavirus,vespertilio sinensis,correct
3433775,258946,betacoronavirus,pipistrellus coromandra,incorrect_but_unlikely
3433775,187011,betacoronavirus,nyctalus plancyi,incorrect_but_unlikely
3433775,375553,betacoronavirus,nyctalus plancyi,incorrect_but_unlikely
3433775,51300,betacoronavirus,nyctalus noctula,correct
3433775,246814,betacoronavirus,pipistrellus pygmaeus,correct
3433775,294653,betacoronavirus,pipistrellus hesperidus,correct
3433775,59473,betacoronavirus,pipistrellus nathusii,correct
3433775,110941,betacoronavirus,macronycteris commersonii,host not in dataset
3433775,2603869,betacoronavirus,macronycteris vittatus,host not in dataset
3433775,188568,betacoronavirus,aselliscus stoliczkanus,correct
3433775,1207989,betacoronavirus,hipposideros lekaguli,incorrect_but_unlikely
3433775,188569,betacoronavirus,hipposideros pratti,correct
3433775,59453,betacoronavirus,hipposideros diadema,incorrect_but_unlikely
3433775,175524,betacoronavirus,hipposideros larvatus,incorrect_but_suspected
3433775,186990,betacoronavirus,hipposideros armiger,correct
3433775,186991,betacoronavirus,hipposideros armiger,correct
3433775,157961,betacoronavirus,hipposideros bicolor,incorrect_but_suspected
3433775,270698,betacoronavirus,hipposideros cineraceus,incorrect_but_unlikely
3433775,334201,betacoronavirus,hipposideros pomona,incorrect_but_suspected
3433775,249020,betacoronavirus,hipposideros abae,incorrect_but_unlikely
3433775,584995,betacoronavirus,hipposideros fuliginosus,incorrect_but_suspected
3433775,302402,betacoronavirus,hipposideros caffer,correct
3433775,463808,betacoronavirus,hipposideros ruber,correct
3433775,170233,betacoronavirus,hipposideros cervinus,incorrect_but_suspected
3433775,58069,betacoronavirus,hipposideros galeritus,correct
3433775,159858,betacoronavirus,rhinolophus pusillus,correct
3433775,376555,betacoronavirus,rhinolophus pusillus,correct
3433775,169756,betacoronavirus,rhinolophus monoceros,incorrect_but_negative
3433775,188570,betacoronavirus,rhinolophus lepidus,incorrect_but_suspected
3433775,196296,betacoronavirus,rhinolophus cornutus,correct
3433775,188572,betacoronavirus,rhinolophus rex,correct
3433775,196889,betacoronavirus,rhinolophus macrotis,correct
3433775,867892,betacoronavirus,rhinolophus siamensis,incorrect_but_suspected
3433775,476588,betacoronavirus,rhinolophus marshalli,incorrect_but_suspected
3433775,337452,betacoronavirus,rhinolophus borneensis,incorrect_but_suspected
3433775,76837,betacoronavirus,rhinolophus philippinensis,incorrect_but_suspected
3433775,320431,betacoronavirus,rhinolophus acuminatus,incorrect_but_suspected
3433775,608659,betacoronavirus,rhinolophus malayanus,incorrect_but_suspected
3433775,178895,betacoronavirus,rhinolophus creaghi,correct
3433775,76834,betacoronavirus,rhinolophus arcuatus,incorrect_but_suspected
3433775,608708,betacoronavirus,rhinolophus shameli,incorrect_but_suspected
3433775,59477,betacoronavirus,rhinolophus affinis,correct
3433775,430491,betacoronavirus,rhinolophus stheno,incorrect_but_suspected
3433775,476589,betacoronavirus,rhinolophus thomasi,correct
3433775,89399,betacoronavirus,rhinolophus sinicus,correct
3433775,188571,betacoronavirus,rhinolophus pearsonii,correct
3433775,249024,betacoronavirus,rhinolophus alcyone,incorrect_but_suspected
3433775,2603865,betacoronavirus,rhinolophus lobatus,host not in dataset
3433775,2603866,betacoronavirus,rhinolophus rhodesiae,host not in dataset
3433775,519041,betacoronavirus,rhinolophus simulator,incorrect_but_unlikely
3433775,302408,betacoronavirus,rhinolophus capensis,incorrect_but_unlikely
3433775,49443,betacoronavirus,rhinolophus darlingi,incorrect_but_suspected
3433775,59478,betacoronavirus,rhinolophus clivosus,correct
3433775,59479,betacoronavirus,rhinolophus ferrumequinum,correct
3433775,342862,betacoronavirus,rhinolophus mehelyi,correct
3433775,519037,betacoronavirus,rhinolophus blasii,correct
3433775,337453,betacoronavirus,rhinolophus luctus,incorrect_but_suspected
3433775,430492,betacoronavirus,rhinolophus trifoliatus,incorrect_but_suspected
3433775,77218,betacoronavirus,rhinolophus hipposideros,correct
