thresh,precision,recall,TP,FP,FN,TN,n_predicted,n_ground_pos
0.348,0.5495495495495496,0.9838709677419355,61,50,1,73,111,62
0.349,0.5495495495495496,0.9838709677419355,61,50,1,73,111,62
0.35,0.5495495495495496,0.9838709677419355,61,50,1,73,111,62
0.351,0.5495495495495496,0.9838709677419355,61,50,1,73,111,62
0.352,0.5495495495495496,0.9838709677419355,61,50,1,73,111,62
0.353,0.5495495495495496,0.9838709677419355,61,50,1,73,111,62
0.354,0.5446428571428571,0.9838709677419355,61,51,1,72,112,62
0.355,0.5446428571428571,0.9838709677419355,61,51,1,72,112,62
0.356,0.5398230088495575,0.9838709677419355,61,52,1,71,113,62
0.357,0.5398230088495575,0.9838709677419355,61,52,1,71,113,62
0.358,0.5398230088495575,0.9838709677419355,61,52,1,71,113,62
0.359,0.5398230088495575,0.9838709677419355,61,52,1,71,113,62
0.36,0.5398230088495575,0.9838709677419355,61,52,1,71,113,62
0.361,0.5398230088495575,0.9838709677419355,61,52,1,71,113,62
0.362,0.5398230088495575,0.9838709677419355,61,52,1,71,113,62
0.363,0.5398230088495575,0.9838709677419355,61,52,1,71,113,62
0.364,0.5350877192982456,0.9838709677419355,61,53,1,70,114,62
0.365,0.5350877192982456,0.9838709677419355,61,53,1,70,114,62
0.366,0.5350877192982456,0.9838709677419355,61,53,1,70,114,62
0.367,0.5304347826086957,0.9838709677419355,61,54,1,69,115,62
0.368,0.5304347826086957,0.9838709677419355,61,54,1,69,115,62
0.369,0.5304347826086957,0.9838709677419355,61,54,1,69,115,62
0.37,0.5258620689655172,0.9838709677419355,61,55,1,68,116,62
0.371,0.5258620689655172,0.9838709677419355,61,55,1,68,116,62
0.372,0.5213675213675214,0.9838709677419355,61,56,1,67,117,62
0.373,0.5213675213675214,0.9838709677419355,61,56,1,67,117,62
0.374,0.5213675213675214,0.9838709677419355,61,56,1,67,117,62
0.375,0.5213675213675214,0.9838709677419355,61,56,1,67,117,62
0.376,0.5213675213675214,0.9838709677419355,61,56,1,67,117,62
0.377,0.5213675213675214,0.9838709677419355,61,56,1,67,117,62
0.378,0.5169491525423728,0.9838709677419355,61,57,1,66,118,62
0.379,0.5169491525423728,0.9838709677419355,61,57,1,66,118,62
0.38,0.5169491525423728,0.9838709677419355,61,57,1,66,118,62
0.381,0.5126050420168067,0.9838709677419355,61,58,1,65,119,62
0.382,0.5126050420168067,0.9838709677419355,61,58,1,65,119,62
0.383,0.5126050420168067,0.9838709677419355,61,58,1,65,119,62
0.384,0.5126050420168067,0.9838709677419355,61,58,1,65,119,62
0.385,0.5126050420168067,0.9838709677419355,61,58,1,65,119,62
0.386,0.5126050420168067,0.9838709677419355,61,58,1,65,119,62
0.387,0.5126050420168067,0.9838709677419355,61,58,1,65,119,62
0.388,0.5126050420168067,0.9838709677419355,61,58,1,65,119,62
0.389,0.5126050420168067,0.9838709677419355,61,58,1,65,119,62
0.39,0.5126050420168067,0.9838709677419355,61,58,1,65,119,62
0.391,0.5083333333333333,0.9838709677419355,61,59,1,64,120,62
0.392,0.5083333333333333,0.9838709677419355,61,59,1,64,120,62
0.393,0.5041322314049587,0.9838709677419355,61,60,1,63,121,62
0.394,0.5041322314049587,0.9838709677419355,61,60,1,63,121,62
0.395,0.5041322314049587,0.9838709677419355,61,60,1,63,121,62
0.396,0.5041322314049587,0.9838709677419355,61,60,1,63,121,62
0.397,0.5041322314049587,0.9838709677419355,61,60,1,63,121,62
0.398,0.5041322314049587,0.9838709677419355,61,60,1,63,121,62
0.399,0.5041322314049587,0.9838709677419355,61,60,1,63,121,62
0.4,0.5041322314049587,0.9838709677419355,61,60,1,63,121,62
0.401,0.5041322314049587,0.9838709677419355,61,60,1,63,121,62
0.402,0.5041322314049587,0.9838709677419355,61,60,1,63,121,62
0.403,0.5041322314049587,0.9838709677419355,61,60,1,63,121,62
0.404,0.5,0.9838709677419355,61,61,1,62,122,62
0.405,0.4959349593495935,0.9838709677419355,61,62,1,61,123,62
0.406,0.4959349593495935,0.9838709677419355,61,62,1,61,123,62
0.407,0.4959349593495935,0.9838709677419355,61,62,1,61,123,62
0.408,0.49193548387096775,0.9838709677419355,61,63,1,60,124,62
0.409,0.49193548387096775,0.9838709677419355,61,63,1,60,124,62
0.41,0.488,0.9838709677419355,61,64,1,59,125,62
0.411,0.488,0.9838709677419355,61,64,1,59,125,62
0.412,0.488,0.9838709677419355,61,64,1,59,125,62
0.413,0.488,0.9838709677419355,61,64,1,59,125,62
0.414,0.48412698412698413,0.9838709677419355,61,65,1,58,126,62
0.415,0.48412698412698413,0.9838709677419355,61,65,1,58,126,62
0.416,0.48412698412698413,0.9838709677419355,61,65,1,58,126,62
0.417,0.48031496062992124,0.9838709677419355,61,66,1,57,127,62
0.418,0.48031496062992124,0.9838709677419355,61,66,1,57,127,62
0.419,0.48031496062992124,0.9838709677419355,61,66,1,57,127,62
0.42,0.48031496062992124,0.9838709677419355,61,66,1,57,127,62
0.421,0.4765625,0.9838709677419355,61,67,1,56,128,62
0.422,0.4765625,0.9838709677419355,61,67,1,56,128,62
0.423,0.4765625,0.9838709677419355,61,67,1,56,128,62
0.424,0.4765625,0.9838709677419355,61,67,1,56,128,62
0.425,0.4765625,0.9838709677419355,61,67,1,56,128,62
0.426,0.4765625,0.9838709677419355,61,67,1,56,128,62
0.427,0.4765625,0.9838709677419355,61,67,1,56,128,62
0.428,0.4728682170542636,0.9838709677419355,61,68,1,55,129,62
0.429,0.4728682170542636,0.9838709677419355,61,68,1,55,129,62
0.43,0.4728682170542636,0.9838709677419355,61,68,1,55,129,62
0.431,0.4728682170542636,0.9838709677419355,61,68,1,55,129,62
0.432,0.4728682170542636,0.9838709677419355,61,68,1,55,129,62
0.433,0.4728682170542636,0.9838709677419355,61,68,1,55,129,62
0.434,0.4728682170542636,0.9838709677419355,61,68,1,55,129,62
