threshold,lambda,precision,recall,n_predicted,predpos,acc
0.1020408163265306,0.8571428571428571,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.8775510204081632,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.8979591836734693,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.1020408163265306,0.9183673469387754,0.75,0.04918032786885246,4,0.021621621621621623,0.04918032786885246
0.1020408163265306,0.9387755102040816,0.8,0.06557377049180328,5,0.02702702702702703,0.06557377049180328
0.1020408163265306,0.9591836734693877,0.5238095238095238,0.18032786885245902,21,0.11351351351351352,0.18032786885245902
0.1020408163265306,0.9795918367346939,0.5061728395061729,0.6721311475409836,81,0.43783783783783786,0.6721311475409836
0.1020408163265306,1.0,0.32972972972972975,1.0,185,1.0,1.0
0.12244897959183673,0.02040816326530612,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.04081632653061224,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.061224489795918366,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.08163265306122448,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.1020408163265306,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.12244897959183673,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.14285714285714285,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.16326530612244897,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.18367346938775508,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.2040816326530612,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.22448979591836732,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.24489795918367346,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.26530612244897955,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.2857142857142857,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.3061224489795918,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.32653061224489793,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.3469387755102041,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.36734693877551017,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.3877551020408163,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.4081632653061224,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.42857142857142855,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.44897959183673464,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.4693877551020408,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.4897959183673469,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.5102040816326531,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.5306122448979591,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
0.12244897959183673,0.5510204081632653,1.0,0.01639344262295082,1,0.005405405405405406,0.01639344262295082
