AssocID,Host,HostClass,HostOrder,HostFamily,HostGenus,HostTaxID,HostNCBIResolved,Virus,VirusClass,VirusOrder,VirusFamily,VirusGenus,VirusTaxID,VirusNCBIResolved,ICTVRatified,PublicationYear,ReleaseYear,ReferenceText,PMID,NCBIAccession,Database,DatabaseVersion,DatabaseDOI,DetectionMethod,Detection_NotSpecified,Detection_Serology,Detection_Genetic,Detection_Isolation,HostOriginal,VirusOriginal,DetectionMethodOriginal
211410,rhinolophus macrotis,mammalia,chiroptera,rhinolophidae,rhinolophus,196889,TRUE,severe acute respiratory syndrome-related coronavirus,pisoniviricetes,nidovirales,coronaviridae,betacoronavirus,694009,TRUE,TRUE,,,ViPR,,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,rhinolophus macrotis,severe acute respiratory syndrome-related coronavirus,PCR
211411,rhinolophus mehelyi,mammalia,chiroptera,rhinolophidae,rhinolophus,342862,TRUE,severe acute respiratory syndrome-related coronavirus,pisoniviricetes,nidovirales,coronaviridae,betacoronavirus,694009,TRUE,TRUE,2010,,Drexler et al. 2010,,,HP3,Olival et al. 2017 Nature,https://doi.org/10.5281/zenodo.596810,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,rhinolophus mehelyi,severe acute respiratory syndrome-related coronavirus,PCR
211414,rhinolophus pearsonii,mammalia,chiroptera,rhinolophidae,rhinolophus,188571,TRUE,rhinolophus bat coronavirus hku2,pisoniviricetes,nidovirales,coronaviridae,alphacoronavirus,693998,TRUE,TRUE,2007,,"Cui J, 2007, Emerg Infect Dis, 13",18258002,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,rhinolophus pearsonii,rhinolophus bat coronavirus hku2,PCR
211415,rhinolophus pearsonii,mammalia,chiroptera,rhinolophidae,rhinolophus,188571,TRUE,severe acute respiratory syndrome-related coronavirus,pisoniviricetes,nidovirales,coronaviridae,betacoronavirus,694009,TRUE,TRUE,2006,,Calisher et al. 2006,,,HP3,Olival et al. 2017 Nature,https://doi.org/10.5281/zenodo.596810,Isolation/Observation,FALSE,FALSE,FALSE,TRUE,rhinolophus pearsonii,severe acute respiratory syndrome-related coronavirus,Isolation
211416,rhinolophus pearsonii,mammalia,chiroptera,rhinolophidae,rhinolophus,188571,TRUE,severe acute respiratory syndrome-related coronavirus,pisoniviricetes,nidovirales,coronaviridae,betacoronavirus,694009,TRUE,TRUE,2005,,"Li W, 2005, Science, 310",16195424,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,rhinolophus pearsonii,severe acute respiratory syndrome-related coronavirus,PCR
211424,rhinolophus pusillus,mammalia,chiroptera,rhinolophidae,rhinolophus,159858,TRUE,severe acute respiratory syndrome-related coronavirus,pisoniviricetes,nidovirales,coronaviridae,betacoronavirus,694009,TRUE,TRUE,2005,,Li et al. 2005,,,HP3,Olival et al. 2017 Nature,https://doi.org/10.5281/zenodo.596810,Antibodies,FALSE,TRUE,FALSE,FALSE,rhinolophus pusillus,severe acute respiratory syndrome-related coronavirus,Antibodies
211425,rhinolophus pusillus,mammalia,chiroptera,rhinolophidae,rhinolophus,159858,TRUE,severe acute respiratory syndrome-related coronavirus,pisoniviricetes,nidovirales,coronaviridae,betacoronavirus,694009,TRUE,TRUE,2008,,"Shi Z, 2008, Virus Res, 133",17451830,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,rhinolophus pusillus,severe acute respiratory syndrome-related coronavirus,PCR
211426,rhinolophus pusillus,mammalia,chiroptera,rhinolophidae,rhinolophus,159858,TRUE,severe acute respiratory syndrome-related coronavirus,pisoniviricetes,nidovirales,coronaviridae,betacoronavirus,694009,TRUE,TRUE,,,ViPR,,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,rhinolophus pusillus,severe acute respiratory syndrome-related coronavirus,PCR
211436,rhinolophus sinicus,mammalia,chiroptera,rhinolophidae,rhinolophus,89399,TRUE,rhinolophus bat coronavirus hku2,pisoniviricetes,nidovirales,coronaviridae,alphacoronavirus,693998,TRUE,TRUE,2007,,"Lau SK, 2007, Virology, 367",17617433,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,Isolation/Observation,FALSE,FALSE,FALSE,TRUE,rhinolophus sinicus,rhinolophus bat coronavirus hku2,Isolation
211437,rhinolophus sinicus,mammalia,chiroptera,rhinolophidae,rhinolophus,89399,TRUE,rhinolophus bat coronavirus hku2,pisoniviricetes,nidovirales,coronaviridae,alphacoronavirus,693998,TRUE,TRUE,2006,,"Woo PC, 2006, Virology, 351",16647731,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,Isolation/Observation,FALSE,FALSE,FALSE,TRUE,rhinolophus sinicus,rhinolophus bat coronavirus hku2,Isolation
